2024-06-25 09:13:44,118 - Deauth packet detected at timestamp: 28.066145420074463 - Packet Info: {'frame.len': 26, 'frame.number': 989, 'frame.time_delta': 0.0059833526611328125, 'frame.time_delta_displayed': 0.0059833526611328125, 'frame.time_epoch': 1719296023.9972968, 'frame.time_relative': 27.944501161575317, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:46,888 - Deauth packet detected at timestamp: 30.83548593521118 - Packet Info: {'frame.len': 26, 'frame.number': 1085, 'frame.time_delta': 0.0009984970092773438, 'frame.time_delta_displayed': 0.0009984970092773438, 'frame.time_epoch': 1719296026.6798403, 'frame.time_relative': 30.627044677734375, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:46,888 - Deauth packet detected at timestamp: 30.83548593521118 - Packet Info: {'frame.len': 26, 'frame.number': 1085, 'frame.time_delta': 0.0009984970092773438, 'frame.time_delta_displayed': 0.0009984970092773438, 'frame.time_epoch': 1719296026.6798403, 'frame.time_relative': 30.627044677734375, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:46,888 - Deauth packet detected at timestamp: 30.83548593521118 - Packet Info: {'frame.len': 26, 'frame.number': 1089, 'frame.time_delta': 0.027925968170166016, 'frame.time_delta_displayed': 0.027925968170166016, 'frame.time_epoch': 1719296026.7556374, 'frame.time_relative': 30.702841758728027, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:46,888 - Deauth packet detected at timestamp: 30.83548593521118 - Packet Info: {'frame.len': 26, 'frame.number': 1089, 'frame.time_delta': 0.027925968170166016, 'frame.time_delta_displayed': 0.027925968170166016, 'frame.time_epoch': 1719296026.7556374, 'frame.time_relative': 30.702841758728027, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:46,888 - Deauth packet detected at timestamp: 30.83548593521118 - Packet Info: {'frame.len': 26, 'frame.number': 1090, 'frame.time_delta': 0.0019943714141845703, 'frame.time_delta_displayed': 0.0019943714141845703, 'frame.time_epoch': 1719296026.7576318, 'frame.time_relative': 30.704836130142212, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:46,888 - Deauth packet detected at timestamp: 30.83548593521118 - Packet Info: {'frame.len': 26, 'frame.number': 1090, 'frame.time_delta': 0.0019943714141845703, 'frame.time_delta_displayed': 0.0019943714141845703, 'frame.time_epoch': 1719296026.7576318, 'frame.time_relative': 30.704836130142212, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:46,888 - Deauth packet detected at timestamp: 30.83548593521118 - Packet Info: {'frame.len': 26, 'frame.number': 1093, 'frame.time_delta': 0.0009982585906982422, 'frame.time_delta_displayed': 0.0009982585906982422, 'frame.time_epoch': 1719296026.78456, 'frame.time_relative': 30.731764316558838, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:46,888 - Deauth packet detected at timestamp: 30.83548593521118 - Packet Info: {'frame.len': 26, 'frame.number': 1093, 'frame.time_delta': 0.0009982585906982422, 'frame.time_delta_displayed': 0.0009982585906982422, 'frame.time_epoch': 1719296026.78456, 'frame.time_relative': 30.731764316558838, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:46,888 - Deauth packet detected at timestamp: 30.83548593521118 - Packet Info: {'frame.len': 26, 'frame.number': 1096, 'frame.time_delta': 0.00498652458190918, 'frame.time_delta_displayed': 0.00498652458190918, 'frame.time_epoch': 1719296026.8443987, 'frame.time_relative': 30.791603088378906, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
